ID,Language_ID,Headword,Part_Of_Speech,1st_Person_SG,3rd_Person_SG,Contains,Entry_IDs,Etymology,Heterosemes,Lovono_Equivalent,Main_Entry,Morphology,Orthographic_Variant,Paradigm_Form,Phonetic_Form,Reduplication_Form,Tanema_Equivalent,Variant_Form
bingone_1,tkw,bingone,noun,,,,visingele_1,,,,,,,,ᵐbiŋone,,bilgora,
biouro_1,tkw,biouro,adjective,,,,labiou_1,,biouro_2 ; biouro_3,beure,,,,,ᵐbiouro,,vabeura,
biouro_2,tkw,biouro,noun,,,,,,biouro_1 ; biouro_3,beure,,,,,ᵐbiouro,,vabeura,
biouro_3,tkw,biouro,postverb,,,,,(?) POc: *barapu,biouro_1 ; biouro_2,beure,,,,,ᵐbiouro,,vabeura,
bisa_1,tkw,bisa,"noun, relational",,,,,,,,,,,,ᵐbisa,,vasbele,
LX000066,tkw,~bisi,"verb, intransitive",,,,,,,~sipwedetu,,,,,(i·)ᵐbisi,,,
blateno_1,tkw,blateno,noun,,,,,,,,,,,,ᵐblateno,,,bulateno
LX000067,tkw,~bo,"verb, transitive",,,,LX000525,,,,,,,,(i·)ᵐbo,,~ba,
LX000068,tkw,~bo,"verb, transitive",,,,LX000444,,,~me,,,,,(i·)ᵐbo,,~ibo,
boe_1,tkw,boe,noun,,,,,,,,,,,,ᵐboe,,,bwoe
bwoe_baro_1,tkw,bwoe baro,noun,,,boe_1,,,,,,[boe](boe_1) ‘shark’ + [baro](baro_1) ‘coconut petiole’,,,,,,
bwoe_tebene_1,tkw,bwoe tebene,noun,,,boe_1,,,,,,[boe](boe_1) ‘shark’ + [tebene](tebene_1) ‘pale’,,,,,,
bwoe_temiao_1,tkw,bwoe temiao,noun,,,boe_1,,,,,,,,,,,,
bwoe_telaifi_1,tkw,bwoe telaifi,noun,,,boe_1,,(?) POc: *bakewa,,,,,,,,,,
bogo_1,tkw,bogo,noun,,,,,POc: *ᵐboŋi,,,bwogo_1,,,,ᵐboᵑgo,,,
boke_1,tkw,boke,noun,,,,,POc: *ᵐbaᵑga(ŋ),,,,,,,ᵐboke,,bage,
